id,intencion,categoria,pregunta,tipo_respuesta,respuesta,Enlace
1,30_creditos,información,Como puedo meter menos de 30 creditos? ,enlace,"Si, tienes que llenar el siguiente formato y llevalo a tu cordinador: https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx",
2,30_creditos,información,30 creditos,enlace,Para llevar menos de 30 creditos debes de llevar el siguiente formato a tu cordinador: https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx,
3,30_creditos,información,Puedo meter menos de 30 creditos?,enlace,"Si, tienes que llenar el siguiente formato y llevalo a tu cordinador: https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx",
4,30_creditos,información,Que pasa si en mi semestre tengo menos de 30 creditos,enlace,Tienes que llenar el siguiente formato y llevalo a tu cordinador: https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx,
5,30_creditos,infromación,Abajo de 30 creditos,Texto,Es el estatus de un alumno cuando en su semestre no cubre el mínimo de 30 créditos requeridos.,
6,30_creditos,información,¿que son menos de 30 creditos?,texto,Es el estatus de un alumno cuando en su semestre no cubre el mínimo de 30 créditos requeridos.,
7,30_creditos,información,Como puedo meter menos de 30 creditos? ,enlace,"Si, tienes que llenar el siguiente formato y llevalo a tu cordinador: https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx",
8,30_creditos,información,30 creditos,enlace,Para llevar menos de 30 creditos debes de llevar el siguiente formato a tu cordinador: https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx,
9,30_creditos,información,Puedo meter menos de 30 creditos?,enlace,"Si, tienes que llenar el siguiente formato y llevalo a tu cordinador: https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx",
10,30_creditos,información,Que pasa si en mi semestre tengo menos de 30 creditos,enlace,Tienes que llenar el siguiente formato y llevalo a tu cordinador: https://lagos.udg.mx/sites/default/files/adjuntos/oficio_menos_de_30_cred_imec-inme_2023.docx,
11,30_creditos,infromación,Abajo de 30 creditos,Texto,Es el estatus de un alumno cuando en su semestre no cubre el mínimo de 30 créditos requeridos.,
12,30_creditos,informacion,¿Qué significa estar en 30 créditos en CULagos?,texto,Significa que no cumpliste con la carga mínima de créditos requerida en el semestre.,
13,30_creditos,informacion,¿Qué pasa si estoy en 30 créditos en CULagos?,texto,Indica que tu carga académica fue menor a la requerida y puedes tener restricciones académicas.,
14,30_creditos,informacion,¿Estar en 30 créditos es algo negativo?,texto,"Sí, indica incumplimiento de la carga mínima establecida por la universidad.",
15,30_creditos,informacion,¿Por qué quedé en 30 créditos?,texto,Porque no cursaste o no acreditaste los créditos mínimos requeridos en el ciclo.,
16,30_creditos,informacion,¿Qué implica no cumplir con los créditos mínimos?,texto,Puedes tener problemas en tu avance académico o reinscripción.,
17,30_creditos,informacion,¿Los 30 créditos afectan mi historial académico?,texto,"Sí, se registra como incumplimiento de carga académica.",
18,30_creditos,informacion,¿Puedo seguir estudiando si estoy en 30 créditos?,texto,"Sí, pero puedes tener restricciones en tu carga o proceso académico.",
19,30_creditos,informacion,¿Los 30 créditos afectan mi reinscripción?,texto,"Sí, puede haber condiciones o limitaciones al reinscribirte.",
20,30_creditos,informacion,¿Puedo inscribir menos materias por estar en 30 créditos?,texto,"No necesariamente, pero tu situación será evaluada.",
21,30_creditos,informacion,¿Los 30 créditos afectan mi promedio?,texto,"No directamente, pero reflejan bajo avance académico.",
22,30_creditos,informacion,¿Puedo caer en baja si estoy en 30 créditos?,texto,Depende de tu situación académica y reincidencia.,
23,30_creditos,informacion,¿Estar en 30 créditos significa que reprobé materias?,texto,Puede deberse a reprobación o baja carga académica.,
24,30_creditos,informacion,¿Puedo recuperar créditos después?,texto,"Sí, cursando y acreditando materias en ciclos posteriores.",
25,30_creditos,informacion,¿Los 30 créditos afectan mi avance en la carrera?,texto,"Sí, retrasan tu progreso académico.",
26,30_creditos,informacion,¿Puedo regularizar mi situación de 30 créditos?,texto,"Sí, cumpliendo la carga mínima en los siguientes ciclos.",
27,30_creditos,informacion,¿Qué pasa si vuelvo a caer en 30 créditos?,texto,Puedes enfrentar sanciones académicas más severas.,
28,30_creditos,informacion,¿Los 30 créditos afectan mi estatus como alumno?,texto,Puedes pasar a una situación académica irregular.,
29,30_creditos,informacion,¿Puedo solicitar apoyo si estoy en 30 créditos?,texto,"Sí, puedes acudir con tu coordinador académico.",
30,30_creditos,informacion,¿Los 30 créditos afectan mi beca?,texto,"Sí, pueden ser motivo de cancelación de becas.",
31,30_creditos,informacion,¿Puedo justificar estar en 30 créditos?,texto,Depende de la normativa y tu situación específica.,
32,30_creditos,informacion,¿Qué debo hacer si estoy en 30 créditos en CULagos?,texto,Debes acudir con tu coordinador para revisar tu situación académica.,
33,30_creditos,informacion,¿A dónde debo acudir si estoy en 30 créditos?,texto,Debes acudir a tu coordinación de carrera o Control Escolar.,
34,30_creditos,informacion,¿Debo hablar con mi coordinador si estoy en 30 créditos?,texto,"Sí, es importante para recibir orientación académica.",
35,30_creditos,informacion,¿Debo hacer algún trámite por estar en 30 créditos?,texto,"Depende del caso, pero puede requerirse seguimiento académico.",
36,30_creditos,informacion,¿Puedo reinscribirme normalmente si estoy en 30 créditos?,texto,"Depende de tu situación, puede haber restricciones.",
37,30_creditos,informacion,¿Debo presentar documentos por estar en 30 créditos?,texto,"Generalmente no, pero pueden solicitar justificación.",
38,30_creditos,informacion,¿Puedo ajustar mi carga académica después de estar en 30 créditos?,texto,"Sí, con asesoría académica.",
39,30_creditos,informacion,¿Debo hacer un plan de regularización?,texto,"Sí, es recomendable para recuperar créditos.",
40,30_creditos,informacion,¿Control Escolar interviene en casos de 30 créditos?,texto,"Sí, puede supervisar tu situación académica.",
41,30_creditos,informacion,¿Puedo solicitar orientación académica por 30 créditos?,texto,"Sí, con tu coordinador o tutor.",
42,30_creditos,informacion,¿Dónde puedo revisar mi carga de créditos en UdeG?,enlace,https://www.siiau.udg.mx/,
43,30_creditos,informacion,¿Dónde puedo consultar mi kardex para verificar mis créditos?,enlace,https://leoalumnos.udg.mx/,
44,30_creditos,informacion,¿Los 30 créditos afectan mi permanencia en la carrera?,texto,Pueden afectar si se repite la situación.,
45,30_creditos,informacion,¿Puedo mejorar mi situación en el siguiente semestre?,texto,"Sí, cumpliendo la carga académica requerida.",
46,30_creditos,informacion,¿Los 30 créditos afectan mi titulación?,texto,"Indirectamente, al retrasar tu avance.",
47,30_creditos,informacion,¿Puedo evitar caer en 30 créditos?,texto,"Sí, cumpliendo la carga mínima cada semestre.",
48,30_creditos,informacion,¿Qué pasa si no cumplo créditos por motivos personales?,texto,Puedes consultar opciones como licencia.,
49,30_creditos,informacion,¿Los 30 créditos aplican a todos los estudiantes?,texto,"Sí, es una regla general de carga mínima.",
50,30_creditos,informacion,¿Puedo combinar trabajo y estudio sin caer en 30 créditos?,texto,"Sí, organizando adecuadamente tu carga académica.",
51,30_creditos,informacion,¿Los 30 créditos afectan mi rendimiento académico?,texto,"Sí, reflejan bajo cumplimiento de carga.",
52,30_creditos,informacion,¿Puedo cambiar mi situación si estoy en 30 créditos?,texto,"Sí, con mejor desempeño en ciclos siguientes.",
53,30_creditos,informacion,¿Los 30 créditos afectan mi trayectoria escolar?,texto,"Sí, pueden retrasar tu avance académico.",
54,30_creditos,informacion,¿Qué pasa si no cumplo con los créditos mínimos en un semestre?,texto,Puedes quedar en condición de 30 creditos y tener afectaciones académicas.,
55,30_creditos,informacion,¿Qué significa no cumplir la carga mínima de créditos?,texto,Significa que no cursaste o acreditaste el mínimo requerido por la universidad.,
56,30_creditos,informacion,¿La condición de 30 creditos es automática?,texto,"Sí, se determina con base en tu carga académica registrada.",
57,30_creditos,informacion,¿Los 30 creditos se basan en materias inscritas o aprobadas?,texto,Se relacionan con los créditos cursados y acreditados en el ciclo.,
58,30_creditos,informacion,¿Qué pasa si doy de baja materias y quedo en 30 creditos?,texto,Puedes caer en esta condición por no cumplir la carga mínima.,
59,30_creditos,informacion,¿Los 30 creditos afectan mi carga futura?,texto,"Sí, pueden limitar la cantidad de materias a inscribir.",
